ds,category,sub_category,y
2014-01-03,Office Supplies,Paper,16
2014-01-04,Office Supplies,Binders,4
2014-01-04,Office Supplies,Labels,12
2014-01-04,Office Supplies,Storage,273
2014-01-05,Office Supplies,Art,20
2014-01-06,Furniture,Chairs,2574
2014-01-06,Office Supplies,Art,18
2014-01-06,Office Supplies,Binders,610
2014-01-06,Office Supplies,Fasteners,31
2014-01-06,Office Supplies,Paper,26
2014-01-06,Technology,Phones,1148
2014-01-07,Furniture,Furnishings,77
2014-01-07,Office Supplies,Binders,10
2014-01-09,Office Supplies,Art,9
2014-01-09,Technology,Accessories,31
2014-01-10,Furniture,Furnishings,52
2014-01-10,Office Supplies,Labels,3
2014-01-11,Furniture,Furnishings,10
2014-01-13,Furniture,Bookcases,334
2014-01-13,Furniture,Chairs,546
2014-01-13,Office Supplies,Art,20
2014-01-13,Office Supplies,Binders,9
2014-01-13,Office Supplies,Envelopes,62
2014-01-13,Office Supplies,Paper,37
2014-01-13,Office Supplies,Storage,1899
2014-01-13,Technology,Accessories,647
2014-01-14,Furniture,Bookcases,62
2014-01-15,Technology,Accessories,150
2014-01-16,Furniture,Furnishings,127
2014-01-16,Office Supplies,Binders,19
2014-01-16,Office Supplies,Labels,30
2014-01-16,Technology,Phones,124
2014-01-18,Office Supplies,Appliances,65
2014-01-19,Furniture,Bookcases,181
2014-01-19,Office Supplies,Binders,32
2014-01-19,Office Supplies,Envelopes,109
2014-01-19,Office Supplies,Paper,56
2014-01-20,Furniture,Chairs,1068
2014-01-20,Furniture,Furnishings,346
2014-01-20,Office Supplies,Appliances,248
2014-01-20,Office Supplies,Art,74
2014-01-20,Office Supplies,Binders,116
2014-01-20,Office Supplies,Envelopes,23
2014-01-20,Office Supplies,Paper,19
2014-01-20,Office Supplies,Storage,81
2014-01-20,Technology,Phones,700
2014-01-21,Furniture,Furnishings,25
2014-01-23,Office Supplies,Fasteners,6
2014-01-23,Office Supplies,Paper,40
2014-01-26,Furniture,Bookcases,142
2014-01-26,Furniture,Furnishings,75
2014-01-26,Office Supplies,Binders,11
2014-01-26,Office Supplies,Paper,36
2014-01-26,Office Supplies,Storage,490
2014-01-26,Technology,Phones,343
2014-01-27,Furniture,Tables,333
2014-01-27,Office Supplies,Art,36
2014-01-27,Office Supplies,Storage,57
2014-01-28,Office Supplies,Binders,4
2014-01-30,Office Supplies,Paper,11
2014-01-30,Office Supplies,Storage,230
2014-01-31,Furniture,Bookcases,291
2014-02-01,Technology,Accessories,469
2014-02-02,Office Supplies,Binders,18
2014-02-02,Office Supplies,Fasteners,12
2014-02-02,Technology,Phones,181
2014-02-03,Office Supplies,Binders,97
2014-02-04,Office Supplies,Binders,100
2014-02-04,Office Supplies,Paper,34
2014-02-06,Office Supplies,Binders,9
2014-02-06,Office Supplies,Labels,15
2014-02-06,Technology,Phones,307
2014-02-07,Office Supplies,Storage,65
2014-02-07,Technology,Accessories,115
2014-02-08,Furniture,Furnishings,15
2014-02-11,Furniture,Chairs,61
2014-02-11,Furniture,Furnishings,333
2014-02-11,Furniture,Tables,1256
2014-02-11,Office Supplies,Binders,79
2014-02-11,Office Supplies,Labels,15
2014-02-11,Office Supplies,Storage,65
2014-02-11,Technology,Accessories,234
2014-02-12,Furniture,Chairs,130
2014-02-14,Office Supplies,Appliances,82
2014-02-14,Office Supplies,Paper,16
2014-02-14,Office Supplies,Supplies,239
2014-02-14,Technology,Accessories,240
2014-02-15,Office Supplies,Binders,21
2014-02-16,Office Supplies,Appliances,8
2014-02-16,Office Supplies,Binders,1
2014-02-17,Office Supplies,Art,54
2014-02-18,Furniture,Furnishings,25
2014-02-18,Office Supplies,Storage,13
2014-02-20,Furniture,Furnishings,20
2014-02-20,Office Supplies,Paper,13
2014-02-20,Technology,Accessories,62
2014-02-21,Office Supplies,Binders,9
2014-02-22,Office Supplies,Paper,19
2014-02-23,Office Supplies,Binders,4
2014-02-23,Office Supplies,Labels,7
2014-02-24,Office Supplies,Paper,56
2014-02-27,Office Supplies,Art,19
2014-03-01,Furniture,Chairs,1454
2014-03-01,Furniture,Furnishings,64
2014-03-01,Furniture,Tables,377
2014-03-01,Office Supplies,Fasteners,19
2014-03-01,Office Supplies,Paper,17
2014-03-01,Office Supplies,Storage,267
2014-03-01,Technology,Phones,6
2014-03-02,Office Supplies,Envelopes,11
2014-03-02,Office Supplies,Paper,39
2014-03-02,Technology,Accessories,151
2014-03-03,Furniture,Bookcases,302
2014-03-03,Furniture,Tables,626
2014-03-03,Office Supplies,Appliances,177
2014-03-03,Office Supplies,Art,19
2014-03-03,Office Supplies,Binders,151
2014-03-03,Office Supplies,Labels,15
2014-03-03,Office Supplies,Storage,45
2014-03-03,Technology,Phones,10
2014-03-04,Office Supplies,Art,16
2014-03-04,Office Supplies,Storage,355
2014-03-05,Office Supplies,Art,60
2014-03-05,Office Supplies,Binders,50
2014-03-05,Office Supplies,Paper,98
2014-03-05,Office Supplies,Supplies,19
2014-03-05,Technology,Accessories,480
2014-03-07,Furniture,Chairs,968
2014-03-07,Office Supplies,Art,39
2014-03-07,Office Supplies,Binders,108
2014-03-07,Office Supplies,Storage,448
2014-03-10,Office Supplies,Art,83
2014-03-10,Office Supplies,Paper,22
2014-03-10,Office Supplies,Storage,636
2014-03-11,Furniture,Furnishings,8
2014-03-11,Office Supplies,Appliances,147
2014-03-11,Office Supplies,Art,8
2014-03-11,Office Supplies,Fasteners,10
2014-03-11,Office Supplies,Paper,124
2014-03-11,Technology,Accessories,33
2014-03-11,Technology,Phones,588
2014-03-14,Furniture,Chairs,1140
2014-03-14,Office Supplies,Art,3
2014-03-14,Office Supplies,Binders,95
2014-03-14,Office Supplies,Paper,110
2014-03-14,Office Supplies,Storage,102
2014-03-14,Technology,Accessories,83
2014-03-14,Technology,Machines,575
2014-03-15,Furniture,Furnishings,46
2014-03-15,Office Supplies,Binders,50
2014-03-15,Office Supplies,Paper,132
2014-03-15,Office Supplies,Storage,143
2014-03-16,Technology,Phones,472
2014-03-17,Furniture,Tables,3266
2014-03-17,Office Supplies,Appliances,127
2014-03-17,Office Supplies,Art,24
2014-03-17,Office Supplies,Binders,130
2014-03-17,Office Supplies,Paper,414
2014-03-18,Furniture,Bookcases,1198
2014-03-18,Furniture,Furnishings,264
2014-03-18,Office Supplies,Art,8
2014-03-18,Office Supplies,Fasteners,19
2014-03-18,Office Supplies,Paper,21
2014-03-18,Office Supplies,Storage,1856
2014-03-18,Technology,Machines,24739
2014-03-19,Furniture,Furnishings,25
2014-03-19,Office Supplies,Binders,34
2014-03-19,Office Supplies,Labels,12
2014-03-19,Office Supplies,Storage,26
2014-03-19,Technology,Accessories,170
2014-03-19,Technology,Phones,324
2014-03-21,Furniture,Chairs,218
2014-03-21,Furniture,Furnishings,33
2014-03-21,Office Supplies,Art,22
2014-03-21,Office Supplies,Binders,123
2014-03-21,Office Supplies,Labels,73
2014-03-21,Office Supplies,Paper,123
2014-03-21,Office Supplies,Storage,16
2014-03-21,Technology,Phones,3500
2014-03-22,Furniture,Chairs,314
2014-03-22,Office Supplies,Art,16
2014-03-22,Office Supplies,Binders,59
2014-03-22,Office Supplies,Paper,74
2014-03-23,Office Supplies,Labels,10
2014-03-23,Office Supplies,Storage,330
2014-03-23,Technology,Phones,605
2014-03-24,Furniture,Furnishings,40
2014-03-24,Office Supplies,Paper,25
2014-03-25,Furniture,Chairs,367
2014-03-25,Office Supplies,Art,47
2014-03-25,Technology,Accessories,45
2014-03-26,Office Supplies,Art,3
2014-03-26,Office Supplies,Binders,28
2014-03-26,Office Supplies,Labels,19
2014-03-26,Technology,Accessories,66
2014-03-26,Technology,Phones,29
2014-03-28,Furniture,Tables,1516
2014-03-28,Office Supplies,Envelopes,6
2014-03-28,Technology,Phones,302
2014-03-29,Furniture,Tables,891
2014-03-30,Furniture,Bookcases,206
2014-03-30,Furniture,Chairs,127
2014-03-30,Office Supplies,Art,60
2014-03-30,Office Supplies,Envelopes,336
2014-03-30,Office Supplies,Labels,44
2014-03-30,Office Supplies,Storage,145
2014-03-30,Technology,Phones,252
2014-03-31,Furniture,Chairs,1125
2014-03-31,Office Supplies,Appliances,53
2014-03-31,Office Supplies,Art,4
2014-03-31,Office Supplies,Binders,1549
2014-03-31,Technology,Accessories,80
2014-04-01,Office Supplies,Binders,23
2014-04-01,Office Supplies,Labels,30
2014-04-01,Office Supplies,Storage,67
2014-04-02,Furniture,Furnishings,178
2014-04-02,Office Supplies,Appliances,155
2014-04-02,Office Supplies,Paper,76
2014-04-02,Technology,Phones,1050
2014-04-03,Office Supplies,Envelopes,11
2014-04-03,Technology,Accessories,222
2014-04-04,Furniture,Furnishings,5
2014-04-04,Office Supplies,Art,79
2014-04-04,Office Supplies,Binders,7
2014-04-04,Office Supplies,Labels,19
2014-04-04,Office Supplies,Paper,32
2014-04-04,Office Supplies,Storage,233
2014-04-04,Technology,Accessories,100
2014-04-05,Office Supplies,Art,87
2014-04-05,Office Supplies,Binders,155
2014-04-05,Office Supplies,Paper,68
2014-04-05,Office Supplies,Storage,792
2014-04-05,Office Supplies,Supplies,4164
2014-04-05,Technology,Phones,29
2014-04-06,Furniture,Furnishings,125
2014-04-06,Furniture,Tables,809
2014-04-06,Office Supplies,Art,71
2014-04-06,Office Supplies,Binders,111
2014-04-06,Office Supplies,Paper,74
2014-04-06,Office Supplies,Supplies,10
2014-04-06,Technology,Accessories,451
2014-04-07,Furniture,Furnishings,9
2014-04-07,Office Supplies,Paper,181
2014-04-07,Technology,Phones,831
2014-04-08,Furniture,Tables,1488
2014-04-08,Office Supplies,Fasteners,52
2014-04-08,Office Supplies,Paper,19
2014-04-08,Technology,Accessories,400
2014-04-11,Office Supplies,Binders,10
2014-04-11,Office Supplies,Fasteners,7
2014-04-11,Office Supplies,Paper,10
2014-04-11,Office Supplies,Storage,87
2014-04-11,Technology,Accessories,937
2014-04-11,Technology,Phones,864
2014-04-12,Furniture,Bookcases,308
2014-04-12,Office Supplies,Art,40
2014-04-12,Office Supplies,Binders,18
2014-04-12,Office Supplies,Paper,32
2014-04-12,Technology,Phones,1513
2014-04-13,Office Supplies,Art,18
2014-04-13,Office Supplies,Binders,510
2014-04-13,Office Supplies,Fasteners,31
2014-04-13,Office Supplies,Labels,8
2014-04-13,Technology,Phones,72
2014-04-15,Furniture,Furnishings,188
2014-04-15,Office Supplies,Appliances,107
2014-04-16,Office Supplies,Art,39
2014-04-18,Furniture,Chairs,317
2014-04-18,Office Supplies,Art,27
2014-04-18,Office Supplies,Envelopes,149
2014-04-18,Office Supplies,Fasteners,12
2014-04-18,Technology,Accessories,228
2014-04-18,Technology,Machines,288
2014-04-19,Furniture,Furnishings,76
2014-04-19,Office Supplies,Binders,58
2014-04-19,Office Supplies,Paper,71
2014-04-20,Furniture,Furnishings,60
2014-04-20,Furniture,Tables,1146
2014-04-20,Office Supplies,Storage,45
2014-04-21,Office Supplies,Binders,17
2014-04-21,Office Supplies,Storage,829
2014-04-22,Office Supplies,Binders,10
2014-04-22,Office Supplies,Envelopes,248
2014-04-23,Furniture,Chairs,562
2014-04-23,Furniture,Furnishings,22
2014-04-23,Office Supplies,Binders,10
2014-04-23,Office Supplies,Paper,49
2014-04-25,Furniture,Chairs,1487
2014-04-25,Furniture,Furnishings,303
2014-04-25,Office Supplies,Appliances,271
2014-04-25,Office Supplies,Art,6
2014-04-25,Office Supplies,Paper,10
2014-04-25,Technology,Phones,302
2014-04-26,Furniture,Chairs,230
2014-04-26,Office Supplies,Art,21
2014-04-26,Office Supplies,Binders,18
2014-04-26,Office Supplies,Labels,13
2014-04-28,Office Supplies,Art,5
2014-04-28,Office Supplies,Binders,21
2014-04-28,Office Supplies,Labels,10
2014-04-28,Office Supplies,Storage,703
2014-04-28,Technology,Accessories,160
2014-04-28,Technology,Phones,1680
2014-04-29,Furniture,Chairs,614
2014-04-29,Furniture,Furnishings,17
2014-04-29,Office Supplies,Binders,18
2014-04-29,Office Supplies,Storage,100
2014-04-29,Technology,Phones,20
2014-04-30,Office Supplies,Art,175
2014-04-30,Office Supplies,Storage,826
2014-04-30,Technology,Accessories,48
2014-05-02,Office Supplies,Appliances,26
2014-05-02,Technology,Copiers,480
2014-05-03,Office Supplies,Binders,51
2014-05-03,Office Supplies,Labels,22
2014-05-04,Furniture,Furnishings,39
2014-05-04,Office Supplies,Appliances,58
2014-05-04,Office Supplies,Art,38
2014-05-04,Office Supplies,Binders,47
2014-05-04,Office Supplies,Fasteners,5
2014-05-05,Furniture,Chairs,128
2014-05-05,Office Supplies,Art,7
2014-05-05,Office Supplies,Binders,12
2014-05-05,Office Supplies,Paper,69
2014-05-05,Office Supplies,Storage,45
2014-05-06,Office Supplies,Art,108
2014-05-06,Office Supplies,Binders,141
2014-05-06,Office Supplies,Labels,6
2014-05-07,Furniture,Chairs,872
2014-05-07,Furniture,Tables,194
2014-05-07,Office Supplies,Art,9
2014-05-07,Office Supplies,Binders,16
2014-05-08,Technology,Copiers,1800
2014-05-09,Office Supplies,Labels,30
2014-05-09,Office Supplies,Paper,45
2014-05-09,Office Supplies,Storage,83
2014-05-09,Technology,Accessories,236
2014-05-10,Furniture,Bookcases,350
2014-05-10,Furniture,Chairs,257
2014-05-10,Office Supplies,Art,22
2014-05-10,Office Supplies,Envelopes,158
2014-05-10,Office Supplies,Paper,40
2014-05-10,Office Supplies,Supplies,41
2014-05-10,Technology,Phones,1476
2014-05-11,Furniture,Chairs,1213
2014-05-11,Furniture,Furnishings,66
2014-05-11,Office Supplies,Appliances,36
2014-05-11,Office Supplies,Binders,105
2014-05-11,Office Supplies,Paper,17
2014-05-11,Technology,Accessories,105
2014-05-11,Technology,Phones,101
2014-05-12,Furniture,Furnishings,35
2014-05-12,Furniture,Tables,700
2014-05-13,Furniture,Chairs,279
2014-05-13,Office Supplies,Binders,398
2014-05-13,Office Supplies,Fasteners,7
2014-05-13,Office Supplies,Paper,8
2014-05-13,Office Supplies,Storage,56
2014-05-13,Technology,Accessories,150
2014-05-14,Furniture,Furnishings,311
2014-05-16,Furniture,Chairs,233
2014-05-16,Technology,Accessories,56
2014-05-17,Office Supplies,Binders,92
2014-05-18,Furniture,Furnishings,149
2014-05-18,Office Supplies,Paper,20
2014-05-18,Technology,Phones,780
2014-05-19,Office Supplies,Binders,57
2014-05-19,Office Supplies,Supplies,34
2014-05-20,Furniture,Furnishings,150
2014-05-20,Office Supplies,Appliances,33
2014-05-20,Office Supplies,Art,39
2014-05-20,Office Supplies,Paper,10
2014-05-20,Office Supplies,Storage,67
2014-05-20,Technology,Accessories,21
2014-05-21,Furniture,Chairs,108
2014-05-21,Office Supplies,Appliances,246
2014-05-21,Office Supplies,Art,32
2014-05-21,Office Supplies,Binders,3182
2014-05-21,Office Supplies,Envelopes,56
2014-05-21,Office Supplies,Paper,23
2014-05-21,Technology,Phones,618
2014-05-22,Technology,Phones,181
2014-05-23,Office Supplies,Appliances,208
2014-05-23,Office Supplies,Art,21
2014-05-23,Office Supplies,Binders,21
2014-05-23,Office Supplies,Paper,13
2014-05-23,Office Supplies,Supplies,5
2014-05-23,Technology,Phones,55
2014-05-24,Office Supplies,Paper,116
2014-05-25,Furniture,Furnishings,29
2014-05-25,Office Supplies,Appliances,76
2014-05-25,Office Supplies,Paper,15
2014-05-26,Furniture,Bookcases,291
2014-05-26,Furniture,Chairs,585
2014-05-26,Office Supplies,Art,13
2014-05-26,Office Supplies,Paper,48
2014-05-26,Office Supplies,Storage,103
2014-05-26,Technology,Phones,286
2014-05-27,Furniture,Tables,567
2014-05-27,Office Supplies,Binders,17
2014-05-27,Office Supplies,Storage,359
2014-05-27,Technology,Accessories,100
2014-05-27,Technology,Phones,1114
2014-05-28,Office Supplies,Binders,137
2014-05-28,Technology,Accessories,28
2014-05-28,Technology,Phones,57
2014-05-30,Furniture,Tables,355
2014-05-30,Office Supplies,Appliances,236
2014-05-30,Office Supplies,Binders,96
2014-05-30,Office Supplies,Paper,54
2014-05-30,Technology,Copiers,720
2014-05-30,Technology,Phones,464
2014-05-31,Technology,Phones,774
2014-06-01,Furniture,Chairs,2002
2014-06-01,Furniture,Furnishings,22
2014-06-01,Office Supplies,Appliances,1569
2014-06-01,Office Supplies,Art,289
2014-06-01,Office Supplies,Binders,184
2014-06-01,Office Supplies,Paper,74
2014-06-01,Office Supplies,Storage,167
2014-06-01,Technology,Phones,882
2014-06-02,Furniture,Furnishings,73
2014-06-02,Office Supplies,Art,9
2014-06-02,Office Supplies,Binders,60
2014-06-02,Office Supplies,Storage,357
2014-06-02,Technology,Phones,240
2014-06-03,Furniture,Furnishings,62
2014-06-03,Furniture,Tables,516
2014-06-03,Office Supplies,Envelopes,15
2014-06-03,Office Supplies,Labels,16
2014-06-03,Office Supplies,Storage,133
2014-06-04,Furniture,Bookcases,354
2014-06-04,Furniture,Furnishings,71
2014-06-04,Office Supplies,Appliances,16
2014-06-04,Office Supplies,Paper,16
2014-06-06,Furniture,Tables,992
2014-06-06,Office Supplies,Art,13
2014-06-06,Office Supplies,Binders,176
2014-06-06,Office Supplies,Envelopes,14
2014-06-06,Office Supplies,Labels,100
2014-06-06,Office Supplies,Paper,62
2014-06-06,Office Supplies,Supplies,17
2014-06-07,Furniture,Tables,269
2014-06-07,Office Supplies,Binders,12
2014-06-08,Furniture,Chairs,756
2014-06-08,Office Supplies,Binders,68
2014-06-08,Office Supplies,Storage,1677
2014-06-09,Furniture,Furnishings,86
2014-06-09,Furniture,Tables,3147
2014-06-09,Office Supplies,Appliances,115
2014-06-09,Office Supplies,Art,118
2014-06-09,Office Supplies,Binders,19
2014-06-09,Office Supplies,Paper,79
2014-06-09,Office Supplies,Supplies,7
2014-06-09,Technology,Accessories,64
2014-06-09,Technology,Phones,1826
2014-06-10,Office Supplies,Labels,492
2014-06-13,Office Supplies,Art,15
2014-06-14,Furniture,Bookcases,213
2014-06-15,Furniture,Chairs,798
2014-06-15,Furniture,Tables,100
2014-06-15,Office Supplies,Binders,9
2014-06-15,Office Supplies,Paper,37
2014-06-16,Furniture,Chairs,648
2014-06-16,Office Supplies,Art,35
2014-06-16,Office Supplies,Binders,40
2014-06-16,Office Supplies,Envelopes,41
2014-06-17,Furniture,Furnishings,6
2014-06-17,Office Supplies,Binders,3266
2014-06-17,Office Supplies,Fasteners,18
2014-06-17,Office Supplies,Paper,62
2014-06-17,Technology,Machines,66
2014-06-18,Technology,Phones,140
2014-06-20,Furniture,Bookcases,193
2014-06-20,Office Supplies,Appliances,472
2014-06-20,Office Supplies,Art,4
2014-06-20,Office Supplies,Binders,3
2014-06-20,Office Supplies,Paper,28
2014-06-20,Office Supplies,Storage,509
2014-06-20,Technology,Machines,419
2014-06-20,Technology,Phones,202
2014-06-21,Furniture,Furnishings,108
2014-06-21,Office Supplies,Appliances,104
2014-06-21,Office Supplies,Art,25
2014-06-21,Office Supplies,Binders,45
2014-06-21,Office Supplies,Envelopes,25
2014-06-21,Office Supplies,Paper,20
2014-06-21,Office Supplies,Storage,37
2014-06-21,Technology,Accessories,96
2014-06-21,Technology,Machines,207
2014-06-21,Technology,Phones,3441
2014-06-22,Furniture,Chairs,1024
2014-06-22,Office Supplies,Binders,8
2014-06-22,Office Supplies,Storage,664
2014-06-22,Technology,Accessories,197
2014-06-22,Technology,Phones,83
2014-06-23,Office Supplies,Art,20
2014-06-23,Office Supplies,Supplies,3
2014-06-23,Technology,Accessories,86
2014-06-24,Furniture,Furnishings,4
2014-06-25,Furniture,Tables,448
2014-06-25,Office Supplies,Art,81
2014-06-25,Technology,Phones,264
2014-06-27,Furniture,Tables,86
2014-06-27,Office Supplies,Storage,306
2014-06-27,Technology,Accessories,224
2014-06-28,Furniture,Chairs,1228
2014-06-28,Office Supplies,Binders,34
2014-06-28,Office Supplies,Fasteners,6
2014-06-28,Office Supplies,Paper,377
2014-06-29,Office Supplies,Art,33
2014-06-29,Office Supplies,Binders,14
